query_id,query,rank,chunk_id,document_id,score,category,relevant,partially_relevant,incorrect,duplicate,context_complete,review_notes,reviewer,reviewed_at
Q09,如何设计多智能体共享团队奖励？,4,SRS-06:99:9691f1285b42,SRS-06,0.9560374617576599,satellite_scheduling,,,,,,,,
Q09,如何设计多智能体共享团队奖励？,5,SRS-04:62:dc7c1ecce360,SRS-04,0.9549185037612915,satellite_scheduling,,,,,,,,
Q10,任务完成与任务过期在势函数中应如何区分？,1,SRS-06:99:9691f1285b42,SRS-06,0.9612126350402832,satellite_scheduling,,,,,,,,
Q10,任务完成与任务过期在势函数中应如何区分？,2,RS-01:10:4faa5e1ec1fd,RS-01,0.9610714912414551,reward_shaping,,,,,,,,
Q10,任务完成与任务过期在势函数中应如何区分？,3,RS-03:40:094320b676a8,RS-03,0.959904134273529,reward_shaping,,,,,,,,
Q10,任务完成与任务过期在势函数中应如何区分？,4,RS-02:44:b55fedd99748,RS-02,0.9587948322296143,reward_shaping,,,,,,,,
Q10,任务完成与任务过期在势函数中应如何区分？,5,RS-07:38:5fd5d60ae0ae,RS-07,0.9587138891220093,reward_shaping,,,,,,,,
Q11,如何限制无效动作？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9625534415245056,reward_shaping,,,,,,,,
Q11,如何限制无效动作？,2,RS-03:40:094320b676a8,RS-03,0.960078775882721,reward_shaping,,,,,,,,
Q11,如何限制无效动作？,3,SRS-04:62:dc7c1ecce360,SRS-04,0.9577276110649109,satellite_scheduling,,,,,,,,
Q11,如何限制无效动作？,4,RS-07:38:5fd5d60ae0ae,RS-07,0.9576736688613892,reward_shaping,,,,,,,,
Q11,如何限制无效动作？,5,RS-04:73:4f25197193c0,RS-04,0.9572271704673767,reward_shaping,,,,,,,,
Q12,如何评价一个自动生成的奖励函数？,1,RS-01:10:4faa5e1ec1fd,RS-01,0.9603774547576904,reward_shaping,,,,,,,,
Q12,如何评价一个自动生成的奖励函数？,2,RS-07:38:5fd5d60ae0ae,RS-07,0.9582822322845459,reward_shaping,,,,,,,,
Q12,如何评价一个自动生成的奖励函数？,3,SRS-06:99:9691f1285b42,SRS-06,0.9581303596496582,satellite_scheduling,,,,,,,,
Q12,如何评价一个自动生成的奖励函数？,4,RS-03:40:094320b676a8,RS-03,0.9580262899398804,reward_shaping,,,,,,,,
Q12,如何评价一个自动生成的奖励函数？,5,SRS-03:51:e8ce128a8337,SRS-03,0.9568605422973633,satellite_scheduling,,,,,,,,
